Country;ITU_code;ECC;CountryID/EBU;ECC + EBU
Afganistan;AFG;F0;A;F0A
Albania;ALB;E0;9;E09
Algeria;ALG;E0;2;E02
Andorra;AND;E0;3;E03
Angola;AGL;D0;6;D06
Anguilla;AIA;A2;1;A21
Antigua_and_Barbuda;ATG;A2;2;A22
Argentina;ARG;A2;A;A2A
Armenia;ARM;E4;A;E4A
Aruba;ABW;A4;3;A43
Ascension_Island;ASC;D1;A;D1A
Australia:Capital_Territory;act;F0;1;F01
Australia:New_South_Wales;ans;F0;2;F02
Australia:Northern_Territory;ant;F0;8;F08
Australia:Queensland;aqu;F0;4;F04
Australia:South_Australia;asa;F0;5;F05
Australia:Tasmania;ata;F0;7;F07
Australia:Victoria;avi;F0;3;F03
Australia:Western_Australia;awa;F0;6;F06
Austria;AUT;E0;A;E0A
Azerbaijan;AZE;E3;B;E3B
Azores(Portugal);AZR;E0;8;E08
Bahamas;BAH;A2;F;A2F
Bahrain;BHR;F0;E;F0E
Bangladesh;BGD;F1;3;F13
Barbados;BRB;A2;5;A25
Belarus;BLR;E3;F;E3F
Belgium;BEL;E0;6;E06
Belize;BLZ;A2;6;A26
Benin;BEN;D0;E;D0E
Bermuda;BER;A2;C;A2C
Bhutan;BTN;F1;2;F12
Bolivia;BOL;A3;1;A31
Bosnia_i_Hercegovina;bih;E4;F;E4F
Botswana;BOT;D1;B;D1B
Brazil;B;A2;B;A2B
Brunei_Darussalam;BRU;F1;B;F1B
Bulgaria;BUL;E1;8;E18
Burkina_Faso;BFA;D0;B;D0B
Burundi;BDI;D1;9;D19
Cabinda;cba;D3;4;D34
Cambodia;CBG;F2;3;F23
Cameroon;CME;D0;1;D01
Canada;CAN;A1;C;A1C
Canaries(Spain);CNR;E0;E;E0E
Cape_Verde;CPV;D1;6;D16
Cayman_Islands;CYM;A2;7;A27
Central_African_Republic;CAF;D0;2;D02
Chad;TCD;D2;9;D29
Chile;CHL;A3;C;A3C
China;CHN;F0;C;F0C
Colombia;CLM;A3;2;A32
Comoros;COM;D1;C;D1C
Congo;COG;D0;C;D0C
Costa_Rica;CTR;A2;8;A28
Cote_d'Ivoire;CTI;D2;C;D2C
Croatia;HRV;E3;C;E3C
Cuba;CUB;A2;9;A29
Cyprus;CYP;E1;2;E12
Czech_Republic;czr;E2;2;E22
Denmark;DNK;E1;9;E19
Djibouti;DJI;D0;3;D03
Dominica;DMA;A3;A;A3A
Dominican_Republic;DOM;A3;B;A3B
Egypt;EGY;E0;F;E0F
El_Salvador;SLV;A4;C;A4C
Equador;EQA;A2;3;A23
Equatorial_Guinea;GNE;D0;7;D07
Estonia;EST;E4;2;E42
Ethiopia;ETH;D1;E;D1E
Falkland_Islands;FLK;A2;4;A24
Faroe(Denmark);DNK;E1;9;E19
Fiji;FJI;F1;5;F15
Finland;FNL;E1;6;E16
France;F;E1;F;E1F
Gabon;GAB;D0;8;D08
Gambia;GMB;D1;8;D18
Georgia;GEO;E4;C;E4C
Germany;D;E0;D,1;[E0D,E01]
Ghana;GHA;D1;3;D13
Gibraltar(UK);GIB;E1;A;E1A
Greece;GRC;E1;1;E11
Greenland;GRL;A1;F;A1F
Grenada;GRD;A3;D;A3D
Guadeloupe;GDL;A2;E;A2E
Guatemala;GTM;A4;1;A41
Guinea-Bissau;GNB;D2;A;D2A
Guyana;GUY;A3;F;A3F
Haiti;HTI;A4;D;A4D
Honduras;HND;A4;2;A42
Hong_Kong;HKG;F1;F;F1F
Hungary;HNG;E0;B;E0B
Iceland;ISL;E2;A;E2A
India;IND;F2;5;F25
Indonesia;INS;F2;C;F2C
Iran;IRN;F1;8;F18
Iraq;IRQ;E1;B;E1B
Ireland;IRL;E3;2;E32
Israel;ISR;E0;4;E04
Italy;I;E0;5;E05
Jamaica;JMC;A3;3;A33
Japan;J;F2;9;F29
Jordan;JOR;E1;5;E15
Kazakhstan;KAZ;E3;D;E3D
Kenya;KEN;D2;6;D26
Kiribati;KIR;F1;1;F11
Korea(North);KRE;F0;D;F0D
Korea(South);KOR;F1;E;F1E
Kuwait;KWT;F2;1;F21
Kyrghyzstan;KGZ;E4;3;E43
Laos;LAO;F3;1;F31
Latvia;LVA;E3;9;E39
Lebanon;LBN;E3;A;E3A
Lesotho;LSO;D3;6;D36
Liberia;LBR;D1;2;D12
Libya;LBY;E1;D;E1D
Liechtenstein;LIE;E2;9;E29
Lithuania;LTU;E2;C;E2C
Luxembourg;LUX;E1;7;E17
Macau;MAC;F2;6;F26
Macedonia;mkd;E4;3;E43
Madagascar;MDG;D0;4;D04
Madeira;MDR;E2;8;E28
Malawi;MWI;D0;F;D0F
Malaysia;MLA;F0;F;F0F
Maldives;MLD;F2;B;F2B
Mali;MLI;D0;5;D05
